image_id,premise,hypothesis,hypothesis_syn,label
167645,a bathroom  with a bath tub with the shower curtain open,tie,necktie.n.01,0
523010,A car with a person and a white dog in it.,speed sign,,1
516840,A man wearing all white playing tennis with a yellow racket.,net,internet.n.01,1
269386,A well appointed hotel bedroom with a balcony on the back,wall,wall.n.01,1
24571,A professional baseball player standing with a bat at home base.,mowed,,1
8568,A wooden desk topped with office supplies near a green wall.,shelf,shelf.n.01,0
275377,A person sitting on a large park bench on green grass.,building,building.n.01,1
132141,a person on a skate board performing a stunt jump,sky,sky.n.01,1
461983,a person carrying an umbrella and a camera,green bars,barroom.n.01,1
456950,A man with a laptop and a cat on a table.,mustache,mustache.n.01,0
502679,The man stands at the gate railing with a surfboard near parked bikes.,train,train.n.01,0
441251,A man riding a rodeo horse in an arena.,cloud,cloud.n.01,0
321702,An umbrella is folded up and lying on the ground. ,cabinet,cabinet.n.01,0
201623,a faded stop sign is in front of some trees.,tree,tree.n.01,1
405264,A close-up of the miniature red reclining chair.,fur,fur.n.01,0
317806,"The wood holder contains pens, scissors, and pencils.",man,man.n.01,0
271157,A pot and pan sitting on a stove top under a microwave next to a collection of knives.,counter top,,1
197686,A airplane that is sitting on the runway.,sign,sign.n.02,0
495387,A formal sitting room with card table and chairs ,signal,signal.n.01,0
559358,A large flower shop holds many different arrangements. ,vase,vase.n.01,1
352427,A man in green shirt and black shorts playing with a frisbee.,belt,belt.n.01,0
60945,A woman lighting candles on a sheet cake with her young daughter next to her,sand,sand.n.01,0
269045,A laptop is sitting on the knees of someone in a chair. ,keyboard,keyboard.n.01,1
295265,A person snowboarding down a hill near a ski lift,tree,tree.n.01,0
415911,A bear that is sitting in the grass.,truck,truck.n.01,0
55232,An outdoor restaurant area with four men seated.  ,person,person.n.01,1
334259,Two geese fly low over the water  while one looks on. ,water,water.n.01,1
516139,a big pizza sits on top of a wooden table top,phone,telephone.n.01,0
123579,A boy wearing a brown T-shirt talks on a cell phone.,shirt,shirt.n.01,1
454916,Man skate boarding mid air next to no parking sign.,skateboard,skateboard.n.01,1
469495,Several people who are sitting in some oddly shaped chairs that have plants on the top of them.,name,name.n.01,0
561102,A small animal eating a piece of food with its mouth open.,restaurant,restaurant.n.01,0
62574,A man out in an ocean riding a surfboard with a sail.,vest,vest.n.01,0
402381,a woman wearing black and red is sitting on a motorcycle,shelf,shelf.n.01,1
461917,An older black pickup truck parked in front of a building.,lot,batch.n.02,1
393900,The large plane is parked on the tarmac.,hazy mountain,mountain.n.01,1
88928,A naked baby asleep in a blanket by a teddy bear,flag,flag.n.01,0
260500,a baseball player swinging a bat on a field,court,court.n.01,0
549104,A bench sitting a top a grassy hillside with the ocean in view,back,back.n.01,1
431779,Two kids playing video games in the living room,logo,logo.n.01,0
287161,A large red plane sits at rest on the tarmac,pepperoni,pepperoni.n.01,0
539299,Young and old men herding a large group of llamas.,man,man.n.01,1
105762,"A plate with celery, carrots, peppers, broccoli and dip. ",broccoli,broccoli.n.01,1
393480,A snowboarder sitting on the slope enjoying the view.,trees,tree.n.01,1
83986,a gray retail store of an intersection with large clock on the top of the building,men,man.n.01,0
494424,a group of people standing together wearing skiis,shadow,shadow.n.01,0
517626,A toilet that has some controls on it.,person,man.n.01,0
106401,A black bear laying on wooden floor next to trees and branches.,bear,bear.n.01,1
501358,A plethora of boats along side each other in the water.,tree,tree.n.01,1
460665,a couple of people on skis stand on some snow,graffiti,graffito.n.01,0
325366,A city street filled with lots of traffic.,wood,wood.n.01,0
120642,there are four clocks at the top of this tower,toilet,toilet.n.01,0
515198,A man sitting in front of a window with an umbrella.,word,word.n.01,0
209493,a man is laying down and using a laptop,cabinet,cabinet.n.01,0
155373,A man carving a wide turn while surfing a big wave.,surfboard,surfboard.n.01,1
40870,Fighter jet on a airstrip with low hanging clouds.,sky,sky.n.01,1
629,An old motorcycle parked outside a rustic building.,grass,grass.n.01,0
88538,There are pictures being taken in this kitchen,roof,roof.n.01,0
391254,Several people are standing together and one of them is holding a sign.,cross,cross.n.01,1
406359,a clock is over an arch in a town,player,player.n.01,0
335003,A little boy is eating a donut with white frosting and blue candy.,donut,doughnut.n.02,1
226890,The front of a house that has several plants and a toilet planter.,jeans,jean.n.01,0
521602,A surfer walks along a rocky beach. ,skies,sky.n.01,1
209493,a man is laying down and using a laptop,jeans,jean.n.01,1
493210,Multiple people para sailing over a large body of water.,kite,kite.n.03,1
116572,an extreme close up of a nasty sandwich,stones,rock.n.01,0
257558,A bunch of stuffed bears wrapped in a room.,tree,tree.n.01,0
181625,A smiling man sits on a bench with his girlfriend. ,ear,ear.n.01,1
323820,A plate loaded full with well cooked food,broccoli,broccoli.n.01,1
311926,Two pastel hued buses parked on the street in a French city.,bag,battalion.n.02,0
90310,Two black bear cubs in green grass intrigued,knife,knife.n.01,0
557901,Two giraffes are walking around an enclosed area.,giraffe,giraffe.n.01,1
154677,Two young boys standing up playing Nintendo Wii ,hair,hair.n.01,1
525716,A cat that is laying down with a mouse on top of it.,watch,watch.n.01,0
300895,A large elephant is shown walking near some trees and brush.,stopper,plug.n.01,0
317659,The living room is clean and empty of people. ,tile,tile.n.01,1
64750,A woman wearing a read full-body top and matching bikini bottoms rides a wave atop a surfboard.,chain,chain.n.01,0
249982,A passenger train pulled up to an empty train depot.,wall,wall.n.01,1
272064,A man leaping to hit a tennis ball with a racket.,toilet,toilet.n.01,0
211405,White toilet with its seat down and the lid up. ,house,house.n.01,0
30437,A skier is down on the ground as others help.,pants,trouser.n.01,0
457560,A cat standing on a toilet in a bathroom.,tree,tree.n.01,0
464964,A giraffe rubbing up against a tree in the wilderness.,t-shirt,jersey.n.03,0
360831,Three wooden structures with vases filled with water and green plants on top of them.,container,container.n.01,1
438167,"A white plate topped with meat, rice and carrots.",pile,pile.n.01,1
497847,A couple sits together under an umbrella in public.,spot,topographic_point.n.01,0
267611,a lady holding a frisby with a dog sitting on the grass,ground,land.n.04,0
521678,A small group of giraffes walk between trees.,giraffe,giraffe.n.01,1
347509,A toddler girl on the beach holding the strap of a kite,toilet,toilet.n.01,0
553285,a man standing next to a wall holding a cell phone up to his ears,sign,sign.n.02,0
106545,Two riders on horseback cross a desert landscape.,head,head.n.01,1
108566,two people behind lighting umbrellas on a dark background,bike,bicycle.n.01,1
235904,"A person walking in front of a parking meter,",meter,meter.n.01,1
572884,Airplane attendants are standing underneath the wing of the plane. ,necklace,necklace.n.01,0
362699,"Two women playing tennis, one taking a shot.",mouth,mouth.n.01,0
505888,One giraffe walking towards another giraffe that is eating.,outlet,mercantile_establishment.n.01,0
29711,A red bicycle is parked next to an air hockey game.,tiles,tile.n.01,0
190272,Is this what happens when a school bus mates with a train engine?,engine,train.n.01,1
338173,Tennis player with tennis racket hitting the tennis ball.,meter,meter.n.01,0
145606,The man in the store is organizing neck ties to sell. ,bottle,bottle.n.01,1
12096,A man posing on his skis in the snow.,decal,decal.n.01,1
275893,a woman is holding a stuffed teddy bear,boy,male_child.n.01,0
412445,A man and a woman riding a horse drawn carriage.,horse shoe,,1
359984,Horses in a pasture under a clear blue sky.,phone,telephone.n.01,0
254414,"A large clock that has ""Orioles"" written above it.",water,water.n.01,0
35397,The plate has broccoli and an egg roll on it. ,wall,wall.n.01,0
144259,Shadow from a kite being cast onto a big building in the background. ,plane,airplane.n.01,1
92909,A small brown and white dog standing on the kitchen floor.,basket,basket.n.01,1
98892,There are many bikes lined up on the street.,socks,sock.n.01,0
168848,A view of fishing boats in the water at the moorage.,harbor,,1
497733,A dog sitting in front of a desktop computer with two monitors.,elephant,elephant.n.01,0
387599,A middle view of two chairs facing a table and two other chairs.,vase,vase.n.01,1
246029,Two adults at the skate park skateboarding the ramps.,cloud,cloud.n.01,0
264236,A fully packed an open suitcase lying on a bed. ,yellow print,print.n.01,1
417594,A pair of giraffe walking through a zoo exhibit by a rock formation.,patches,spot.n.05,1
264636,A group of people are using paddles to navigate their surfboards.,shorts,short_pants.n.01,1
252194,The Avenue Des Reaux-Arts lit up at night.,word,word.n.01,1
542713,A pizza that is not quite shaped correctly,cabinet,cabinet.n.01,0
343066,A stoplight on a race course shows a red light.,sticker,gummed_label.n.01,0
233354,The tile and the toilet are in need of a good cleaning.,guys in grey shirts,shirt.n.01,0
359168,A man seems to be messing with his laptop while on the plane. ,cat,cat.n.01,0
570211,Two people and a dog that are standing together.,potato,potato.n.01,1
547498,A man laying underneath an elephant with it's leg lifted up. ,people,people.n.01,1
283697,Personal electronic and office items laid out on a desk,letter t,,1
149422,A group of public toilets lined up in a row.,toilet,toilet.n.01,1
400599,A man standing on a snow covered ski slope next to a person laying down.,neck,neck.n.01,0
550099,a black bear trying to climb up some boulders ,building,building.n.01,0
259366,A young man wearing a tie standing in a doorway.,face,face.n.01,1
246345,"A person riding a horse, jumping it over an obstacle.",back legs,leg.n.01,1
285729,A woman on a motorcycle in front of trees. ,cloud,cloud.n.01,0
335650,A snowboarder making a jump of a snowy ledge,plate,plate.n.04,0
568330,The boat is on the bay and there is sand. ,shore,shore.n.01,1
446452,A black and white picture of a lighthouse beside the ocean. ,rocks,rock.n.01,1
475669,Man on a surf board riding a wave.,sky,sky.n.01,1
42003,A banana sitting at the end of a table in front of a fountain.,banana,banana.n.01,1
475313,Guy holding mug in hand picks thru the donuts in the box,man,man.n.01,1
306913,a small group of people sitting together on a bench,sphere,sphere.n.01,0
62574,A man out in an ocean riding a surfboard with a sail.,foot,foot.n.01,1
279147,Three rowboats are tied up on the shore of a body of water.,pole,pole.n.01,1
304027,A person is standing in the snow on skies,man,man.n.01,1
528687,A very cute lady in a big chair reading a book.,lady,lady.n.01,1
286973,A tired man is resting on the park bench.,man,man.n.01,1
150704,Two small elephants close together in a field of high grass ,door,door.n.01,0
341985,"AN apple on a table with bananas behind it.
",flag,flag.n.01,0
456369,A plate full of small hot dogs next to crackers,basket.,,1
284691,A man is going down stairs with a suitcase.,steps,measure.n.01,1
473815,"A bathroom with a bathtub, sink, and a mirror.",post,post.n.01,0
139496,Lights shine brightly behind a street sign with icicles on it.,text,text.n.01,1
141146,A skier navigating his way down a slope.,pole,pole.n.01,0
550780,a big bed sits in a room along with a couch ,building,building.n.01,0
286247,A gathering of people on an open field watching airplanes.,sky,sky.n.01,1
150048,The animals are eating the grass on the terraces.,sand,sand.n.01,0
308895,A plate filled with a chees filled meat sandwich with sauce.,leaf design,,1
22525,a long and big train going down the tracks,bike,bicycle.n.01,0
579909,A silver refrigerator is in a messy kitchen.,towel,towel.n.01,1
218850,A train travels on tracks through a residential area.,window,window.n.01,1
147369,an image of a pan pizza with all the toppings on it ,mountain,mountain.n.01,0
344669,Two fire trucks parked in front of a house.,grey roof,,1
329831,The people are wearing orange and skiing along the snowy trail.,wall,wall.n.01,0
450309,Small sized giraffe standing in a grassy area looking out.,chickens,chicken.n.01,0
73174,A woman poses with a mirror in the background while grooming a dog with partially cut hair. ,dog,dog.n.01,1
286247,People gather in small groups on a large grass field while an airplane flies low overhead.,clouds,cloud.n.01,1
519209,A male chef stands at a work station preparing food.,bowl,bowl.n.01,1
348308,a living room with a long couch in front of a big mirror ,wall,wall.n.01,0
121589,A WOMAN AT THE BEACH HOLDING AN OPEN UMBRELLA,flip phone,telephone.n.01,0
520532,It is dark outside but i see a rail and board.,supports,support.n.01,1
548731,A stop sign is standing in the middle of the grass as construction cones are in the street behind it. ,letters,letter.n.01,0
476430,A large airplane is taking off from a runway.,flag,flag.n.01,1
373623,A cat puts his paw on a Wii remote.,controller,accountant.n.01,1
297359,Children on the floor making paper bag puppets,field,field.n.01,0
108722,some boats sitting in some pretty blue water,dog's paw,paw.n.01,0
372198,A suitcase is the only available seat for the two girls.,wall,wall.n.01,1
273560,There is a white wedding cake in front of lights.,pedal,pedal_point.n.01,1
118118,A pizza with cheese and mushrooms on a wood pan.,table,table.n.02,0
311007,a woman under an umbrella walking down the sidewalk on a rainy day,road,road.n.01,1
130512,A group of men holding up a bunch of bananas.,shirt,shirt.n.01,1
286171,Girl on phone looking up a statue of Ronald McDonald.,eyebrows,eyebrow.n.01,1
153041,A homosexual man exposing his rear end next to a group of people.,head,head.n.01,1
518932,A man in a suit and tie holding a water bottle and people with cameras standing around him.,bag,bag.n.01,0
283734,A small dog is walking in a room.,closet,cupboard.n.01,1
387900,"A hot dog, with a coca cola drink and receipt.",advertisement,ad.n.01,0
550925,A black and white photo of what appears to be a subway car.,picture,picture.n.01,0
475076,A man riding a decorated elephant with a riding chair on its back,turban,turban.n.01,1
537667,A man sliding into a home plate with a baseball uniform on.,line,line.n.01,1
84938,A young boy in a red shirt tries to catch a baseball. ,fence,fence.n.01,1
524155,Young man pouring a beverage in front of a refrigerator.,shirt,shirt.n.01,1
563061,A herd of zebra standing on top of a dirt field.,window,window.n.01,0
277203,A picture of the big blue sky with a jet flying in it.,landing gear,landing_gear.n.01,1
407905,Two zebras standing by a log in a grassy field while people in a car watch.,log,log.n.01,1
281815,a desk with a laptop a keyboard and a cat,motorcycle,motorcycle.n.01,0
105762,"A plate with celery, carrots, peppers, broccoli and dip. ",jeans,jean.n.01,0
143245,An adult and baby elephant on top of dirt.,girl,girl.n.01,0
143664,A bathroom mirror over a marble sink with the lights turned on.,tie,necktie.n.01,0
451976,A dog is sniffing the grass near a lake.,hand,hand.n.01,0
580146,snow board riding person jumping up into the air,snowboard,snowboard.n.01,1
45071,A cat stand in concentration on top of a suitcase,person,person.n.01,0
279421,A train station with a green train parked on the tracks.,object,object.n.01,0
104631,"A surfboard is lying flat on a rocky, sandy beach.",man,man.n.01,0
113724,A train sitting near a platform on the tracks.,windshield,windshield.n.01,1
193168,A pizza on a baking pan cut in half.,corn,corn.n.01,1
124907,A lot of men are standing around the cows.,pants,trouser.n.01,1
238589,A man is holding a plate with hot dogs and chips at a baseball game. ,jacket,jacket.n.01,1
517856,The cross country skier pauses at the edge of the course near a distance marker.,man,man.n.01,1
325115,A man jumps off a skate board to make it over a high jump.,lines,road.n.01,1
563233,A stop sign is on a street corner near a hill.,skyscraper,skyscraper.n.01,0
298269,A multicolored small airplane parked on the cement,photograph,photograph.n.01,0
545181,a child siting on a bench near a dog ,blue plate,plate.n.04,0
452650,A room that has a desk and bunk beds.,window,window.n.01,0
9408, People on skis are gathering in the snow.,ski,ski.n.01,1
409262,A young boy is sitting on the wooden bench. ,ear,ear.n.01,0
275893,A young woman holding a teddy bear in a room.,button,button.n.01,1
541556,a pair of cows eating grass with mountains behind them,background,area.n.01,0
422866,a plate with a hot dog and broccoli,window,window.n.01,0
386009,A vegetable pizza is sitting on a paper plate.,bench,bench.n.01,1
271595,A gray tiger cat sitting on top of a couch.,person,person.n.01,1
304027,A person is skiing down a snowy slope.,pine trees,tree.n.01,1
56049,a couple of horses that are in side of a fence,pasture,pasture.n.01,1
426482,Two zebras and a giraffe in a grassy area with trees.,mane,mane.n.01,1
391686,A surfer catches a wave as other surfers watch on,water,water.n.01,1
276077,A woman in a maids uniform washing dishes,scrub brush,scrub_brush.n.01,1
65201,close up of a person with long grey blue hair and wearing a tie,beth,beth.n.01,0
462801,a phone that is laying on some kind of pad,table,table.n.02,1
240112,A dog and two swans in the water.,plants,plant.n.01,1
224199,A train with cars attached sits at a platform.,ice cream,ice_cream.n.01,0
63879,"A shelf containing books, stationery, and a clock.",woman's foot,foot.n.01,0
206137,many umbrellas on a beach near the water,letter,letter.n.01,0
61881,A person laying on a bed next to red pillows.,radio,radio.n.01,0
462404,A massive tall brown brick clock tower near a street.,bulls,cow.n.01,0
11426,An antique model motorcycle on display with other older bikes on a grassy field.,black tire,tire.n.01,1
108274,A woman walking up a ramp in the rain with an umbrella.,jacket,jacket.n.01,1
367538,A crowd of young children holding open umbrella.,umbrella,umbrella.n.01,1
199318,A full view of a building on a cloudy day. ,street light,,1
37779,a few people riding motorcycles on a raod,ground,land.n.04,1
454044,The snowboarder grabs his snowboard during a jump.,snowboard,snowboard.n.01,1
137056,A mother elephant with a baby elephant walking down a street. ,road,road.n.01,1
28976,"Giraffes are standing in a building, and one is eating grass.",eye,eye.n.01,1
151265,A couple of motor bikes on a parking lot.,bike,bicycle.n.01,1
397431,A man standing on a boat wearing a large brown hat.,black lettering,inscription.n.01,1
206278,A person is wearing a helmet riding a skateboard.,tree,tree.n.01,1
280999,A man standing in a field with sheep in the background,water,water.n.01,0
153142,Surf boards colored like flags of countries in some type of gallery.,snow,snow.n.01,0
425945,Brown luggage is stacked up in a pile.,player,player.n.01,0
157314,An umbrella is sticking out of a trash can ,gray,gray.n.01,1
222397,A grey and black cat drinking from a cup of coffee.,liquid,liquid.n.01,1
458390,"A firetruck, school bus, taxis, and other cars are on the road.",straps,strap.n.01,0
