image_id,premise,hypothesis,hyp_rel,label
18723,A field of flowers and a clock tower,A man wearing a yellow shirt.,"[[1602032, u'wearing a', u'wear.v.01', 1602033]]",0
332692,"A brown bear is walking through a shallow, rocky, stream.",the bear has ears,"[[466625, u'has', u'have.v.01', 466636]]",1
535060,A man helps a young girl with skiing gear,the man is wearing a blazer,"[[855034, u'wearing a', u'be.v.01', 3783929]]",0
437510,A lot of animals that are standing near each other.,license plate on front of red and white bus,"[[600298, u'ON', u'along.r.01', 600292]]",0
478755,"A batter, runner, catcher and two referees at a baseball game.",man wearing red hat,"[[2094962, u'WEARING', u'wear.v.01', 3629741]]",1
416598,an image of a couple in the kitchen eating pizza,back slat of bench,"[[554557, u'OF', None, 554553]]",0
76187,A statue surrounded by a fruit tree and bushes.,person reaching out to fallen person,"[[1700066, u'reaching out to', u'achieve.v.01', 1700067]]",0
490097,"A living area with chair, love seat, coffee table and a television.",a table and chairs,"[[2795909, u'and', None, 2795910], [2795909, u'and', None, 2795911], [2795909, u'and', None, 2795912], [2795909, u'and', None, 2795913]]",1
529030,Bicycles lined up beside each other outside in the snow. ,water on man's face,"[[388965, u'has a', u'have.v.01', 388980]]",0
43431,A tennis player walking off a tennis court,coffee cups on the shelf.,"[[2838137, u'on a', u'along.r.01', 3710334], [2838138, u'on a', u'along.r.01', 3710334]]",0
425548,Army planes are arranged on the ground for people to observe. ,white clouds in blue sky,"[[3159270, u'IN', None, 3159269]]",1
88592,A group of skiers propel themselves down a hill.,the hand of a woman,"[[2080526, u'OF', None, 3170714]]",0
488243,Six people on skis on a wintry slope,the hand of the person sitting at the table,"[[792431, u'of a person', None, 792460]]",0
180765,The small dog is looking at himself in the mirror.,The window is down in the car.,"[[2731440, u'IN', u'in.r.01', 2731441]]",1
123214,Many people fly kits near a large stone obelisk. ,blue sky with faint white clouds over national monument ,"[[3381402, u'over', None, 3454587], [2925568, u'IN', None, 3381402]]",1
51571,The canadian vehicle is one of the most unusual ones seen.,piece of land on the water ,"[[365080, u'ON', u'along.r.01', 365096]]",0
522653,A couple of zebra standing next to each other.,left ear of a zebra,"[[1098160, u'has', u'have.v.01', 1098163]]",1
144283,a kitchen with a stove cupboards and many power outlets,controls on black oven and stove top,"[[3857750, u'ON', u'along.r.01', 2320402], [3857750, u'ON', u'along.r.01', 2320403]]",1
538615,a soccer player wearing a black shirt and a soccer ball,the shadow of the cat,"[[968744, u'casts', u'roll.v.12', 968749]]",0
529433,A lot of sheep in a pasture eating and laying down.,sheep in the field,"[[2650323, u'IN', u'in.r.01', 2385371], [2385367, u'IN', u'in.r.01', 2385371], [2385368, u'IN', u'in.r.01', 2385371], [2385369, u'IN', u'in.r.01', 2385371], [2596902, u'IN', u'in.r.01', 2385371]]",1
240695,A female tennis player at the court with racket,a man in a yellow shirt,"[[1825417, u'WEARING', None, 1825418]]",1
439926,Three baseball players are standing while a crowd watches.,The runner on first base ,"[[473727, u'standing on', u'be.v.01', 473722]]",1
261871,"A picture of two people on a tractor filled with hay, shed and two horses. ",two women on a farm ,"[[2760622, u'ON', u'along.r.01', 3620493]]",1
490998,An alignment of air planes fly in the sky. ,PIECE OF FISH ON BREAD,"[[2234405, u'ON', u'along.r.01', 3613505]]",0
409668,A street with many cars racing by in a blur,Lights on the pavement,"[[560077, u'ON', u'along.r.01', 560079]]",1
455860,The side of a truck advertising taxi service in Vietnam,green leaves on the tree,"[[3341449, u'ON', u'along.r.01', 3417581]]",0
125321,a woman and a man sitting at a dining table with dishes and pans on it.,a man sitting next to a woman.,"[[1193723, u'next to', u'next.r.01', 1193722]]",1
116601,A teddy bear wearing a scarf sitting on a cushion.,wet sand where person is jumping,"[[215815, u'ON', u'along.r.01', 215818]]",0
166762,Two giraffes that are eating from a tree.,Two skis covered in snow on a man with white framed goggles and tan coat.,"[[1584105, u'with', None, 1584106], [1584105, u'with', None, 1584107], [1584103, u'covered in', u'traverse.v.01', 1584104], [1584103, u'ON', u'along.r.01', 1584105]]",0
235469,many devices and tools on the floor arranged neatly,Plastic bag on counter.,"[[311094, u'ON', u'along.r.01', 311093]]",0
441794,A man in a field with a Frisbee.,part of a grass,"[[980945, u'OF', None, 980941]]",1
210082,A free-standing bathroom near an open door and table.,the picture near the sink,"[[554625, u'near', u'about.r.07', 3835320]]",1
168828,An elephant with a man on its back and people standing nearby.,the tusks of an elephant,"[[3485721, u'ON', u'be.v.01', 2085398], [3485722, u'ON', u'be.v.01', 2085398]]",1
533045,A couple of pizzas sitting on top of two plates.,clumps of spinach on a pizza,"[[3195775, u'ON', u'along.r.01', 3493710]]",1
200446,A young man resting has another person revealing offensive hand gestures next to him.,the glasses on the man's face,"[[793009, u'has', u'have.v.01', 793012]]",1
410191,an image of a silver fire hydrant on the grass,ear of a giraffe,"[[2726542, u'ON', u'along.r.01', 2726543]]",0
503807,A train marked BNSF at a railroad with grass.,purple flowers next to the bear,"[[951579, u'next to', u'next.r.01', 951578]]",0
321709,A filtered photograph of a person riding a motorcycle.,black glove on ground,"[[1354267, u'ON', u'along.r.01', 1354268]]",0
324400,a man holding onto a baseball bat during a game,The clock on the building.,"[[1047714, u'has a', u'have.v.01', 1047713]]",0
390594,A skier looks at mountains while standing near a trail sign.,the mountain is full of snow,"[[867594, u'full of', u'be.v.01', 867592]]",1
525012,a man is standing in the kitchen with a blue apron,Frying pan filled with cooking food.,"[[250016, u'IN', u'in.r.01', 250018]]",1
196851,The people are prepping the table to eat.,Banister attached to wall,"[[1226637, u'attached to', u'be.v.01', 1226654]]",0
369576,A fire truck spraying water onto something  from the truck,the ear of a boy,"[[1714822, u'OF', None, 1714823]]",0
343984,A man crosses the desert on horse back. ,brown horse is behind white horse,"[[3395992, u'IS BEHIND', u'be.v.01', 3395993]]",1
459736,A cow standing half way out of a barn.,the person riding the scooter,"[[3061060, u'riding', None, 3061059]]",0
110325,A bathroom is in the middle of being renovated.,light fixture on the wall,"[[2932586, u'ON', None, 2932587]]",1
279485,a few people walking down a road with a fence near by,yellow traffic signal on pole,"[[664609, u'on a', u'be.v.01', 664610]]",1
415499,a plate of food is arranged to be eaten,cashews on top the soup,"[[1752327, u'on top of', u'be.v.01', 3836155]]",1
491151,A young man riding a skateboard up into the air.,Traffic light is casting a shadow,"[[865954, u'has', u'have.v.01', 865970]]",0
397105,Two men in a wooden cart one of which has an apple on his head. ,there are some writings on the bottle,"[[230998, u'ON', u'along.r.01', 230997], [230999, u'ON', u'along.r.01', 230997], [231001, u'ON', u'along.r.01', 230997], [231002, u'ON', u'along.r.01', 230997], [231000, u'ON', u'along.r.01', 230997]]",0
449158,A man and woman sit on a tree branch as a man looks on. ,the green shirt of the child,"[[3799373, u'ON', u'along.r.01', 3799372]]",0
383106,A small cheese pizza sliced into eight pieces.,The plate is sitting on a tray.,"[[1181318, u'ON', u'along.r.01', 1181319]]",1
483424,A group of small boats is sitting on the water by the shore.,boat next to boat in water,"[[1054374, u'next to', u'be.v.01', 1054372]]",1
255026,Two people on motorcycles ride on a street past a house.,arms of a person,"[[923910, u'OF', None, 923907]]",1
338289,A multi topping pizza with vegetables and meat in an oven.,group of people on motorcycle,"[[3744520, u'ON', u'along.r.01', 3744509]]",0
118974,A dog that is lying down on a sidewalk.,Five planes in a group,"[[733377, u'in a', u'be.v.01', 733378]]",0
443944,A small living room has two sofas and two lounge chairs,Commercial aircraft is boarding passengers,"[[1723391, u'boarding', u'board.v.01', 1723390]]",0
340903,A couple of city buses are on the street in a city.,five windows on a bus,"[[438808, u'ON', u'along.r.01', 438805]]",0
434031,a toilet and bucket in a white tiled bathroom,white pipe on wall,"[[3700755, u'ON', u'along.r.01', 2578265]]",1
102377,"BUSY, BUSY, BUSY,LOTS OF CARS, PEOPLE AND LIGHTS",Bright lights on a building,"[[801480, u'ON', u'along.r.01', 801481]]",1
514168,Dry-suited surfer catching a wave in an almost empty sea,a man is in the water in the background,"[[1266779, u'IN', u'in.r.01', 1266780], [1266779, u'IN', u'in.r.01', 1266778]]",1
320929,A woman and a child play with colored blocks. ,a guy posing with a surfboard ,"[[3315473, u'Posing with', u'put.v.01', 3203338]]",0
557005,"A bowl of cereal, a banana, and a slice of bread with cheese on a tray.",Lower end of banana touching plate,"[[797771, u'ON', u'along.r.01', 3893195]]",1
76146,Three people having a conversation next to a parking meter,blue letter S print on a bottle's label,"[[1816805, u'on a', u'along.r.01', 3562406], [3562406, u'on a', u'along.r.01', 3562405]]",0
412545,A refrigerator with two gallons of milk hanging on the side of a door.,brown teddy bear on shelf,"[[3471512, u'ON', u'along.r.01', 3471513]]",0
458208,A lush green field with colorful kites flying above it.,white dashes on the street,"[[1251184, u'ON', u'along.r.01', 1251173], [1251182, u'ON', u'along.r.01', 1251173], [1251180, u'ON', u'along.r.01', 1251173], [1251183, u'ON', u'along.r.01', 1251173], [1251181, u'ON', u'along.r.01', 1251173]]",0
159948,Man with luggage stands around bikes and a no children zone sign,picture of man on wine bottle,"[[526315, u'ON', u'along.r.01', 3846812]]",0
375637,A man climbing onto a black horse in an arena.,The back tire that is visible on the gray car.,"[[2405776, u'that visible on', u'be.v.01', 2405777]]",0
390844,A microwave in the middle of a forest. ,microwave sitting near rock,"[[3825941, u'near', u'about.r.07', 1230183]]",1
334752,three motorcycles crossing a busy street next to some buildings,Headlights of several automobiles,"[[2786506, u'ON', u'along.r.01', 2786511], [2786509, u'ON', u'along.r.01', 2786513], [2786510, u'ON', u'along.r.01', 2786512]]",1
184679,a sheep in a cage in the back of a truck.,A sheep in a cage.,"[[837447, u'inside of', u'inside.r.01', 837449]]",1
105358,an older person in a living room with a nintendo wii remote,The light is on in the room.,"[[1645886, u'IN', u'in.r.01', 3793735]]",0
77378,The passenger train passes underneath a bridge near a building.,light of the train,"[[2374146, u'OF', None, 1920960]]",1
79671,A street sign stands in front of a row of buildings.,shadow on the building,"[[1000562, u'ON', u'be.v.01', 1000563]]",1
552420,A boy reaching up to catch a large frisbee on the beach.,A cat near the window.,"[[478990, u'next to', u'be.v.01', 478993]]",0
269798,A giraffe stands near a large tree with no leaves.,Small fruit on a vine,"[[3428880, u'ON', u'along.r.01', 3775183]]",0
94723,The girl is talking on her cell phone and smiling. ,the girl is holding a phone,"[[618386, u'holding', u'have.v.01', 618388]]",1
544649,A zebra standing on a dirt road next to a forest.,green frisbee in mid air,"[[2581421, u'IN', u'in.r.01', 2581422]]",0
477390,A toaster oven with two levels of trays inside and a glass window door on the front.,woman wearing white hat,"[[707718, u'WEARING', u'be.v.01', 707717]]",0
48937,Two women brush their teeth in an office,The girl is holding a toothbrush.,"[[1316557, u'holding', u'have.v.01', 1316544]]",1
336406,Three different types of hot dogs are on a placemat.,Part of floral serving tray,"[[2284220, u'has', u'have.v.01', 3548500]]",1
280643,A Delta plane getting loaded up on a runway.,bag of food on the table,"[[960738, u'ON', u'along.r.01', 960732]]",0
102724,A wooden table topped with plates and bowls filled with fruit.,a banana in a wooden bowl,"[[2552805, u'IN', u'in.r.01', 2552806]]",1
515814,an old truck sitting by a wall with some orange poles on the side of it,a headlight on a truck,"[[456115, u'has', u'have.v.01', 456130]]",1
2693,a group of people that are standing in a living room with a wii,Waves in the water.,"[[1105946, u'IN', u'in.r.01', 1105947], [1105948, u'IN', u'in.r.01', 1105947]]",0
479387,A little girl holding a kite on a dry grass field.,"Yellow, red, blue and green kite held by young girl","[[235898, u'holds', u'have.v.01', 235896]]",1
501204,A cake is decorated with a monster truck and cars.,The red car on the cake.,"[[1116718, u'ON', u'along.r.01', 377774]]",1
494019,two men wearing a lot of white snow skiing,Dark soda in a glass,"[[437641, u'IN', u'in.r.01', 437638]]",0
422850,a person riding a white horse through the water,french fries on the side,"[[1225708, u'ON', u'along.r.01', 3825460]]",0
479387,A little girl holding a kite on a dry grass field.,woman holding a wineglass,"[[3945403, u'holding', None, 3405359]]",0
287407,Shelves covered in all different pastries and breads.,two boys holding catcher's mitts ,"[[1887015, u'holding', u'be.v.01', 2333368], [3858847, u'holding', u'be.v.01', 2333369]]",0
229574,Young boys are standing by the waters edge.,black hippo by the water,"[[2652238, u'next to', u'next.r.01', 2496598]]",1
513191,A french toast sandwich positioned on a plate next to syrup.,powdered sugar on the french toast,"[[3857729, u'ON', u'along.r.01', 3857729]]",1
154689,A group of people playing frisbee in an open field,the woman holds the frisbee in both hands,"[[1344129, u'IN', u'be.v.01', 1344134], [1344129, u'IN', u'be.v.01', 1344135], [1344126, u'has', u'have.v.01', 1344129]]",1
538518,some people standing around playing a video game ,the picture hanging above the tv,"[[736924, u'hanging above', u'hang.v.01', 736922]]",1
491290,A white truck is parked in a metered parking area.,sticker on a dresser,"[[2775927, u'ON', None, 2775928]]",0
560629,A large military plane sitting on a runway,military plane on runway,"[[357694, u'ON', u'along.r.01', 357695]]",1
164522,A car parked in front of a sidewalk.,Someone on a motorcycle,"[[2842156, u'ON', u'along.r.01', 2842155]]",1
231103,A woman riding a surfboard on top of a wave in the ocean.,A man wearing blue jeans,"[[3267512, u'WEARING', u'wear.v.01', 2076432]]",0
41552,The woman is on the couch with a dog. ,The nose of a dog,"[[1254712, u'OF', None, 1254701]]",1
500321,A giraffe walks next to a small wall within its enclosure. ,the mane of a giraffe,"[[441535, u'has a', u'have.v.01', 441548]]",1
505597,A vase that has a red and purple flower in it.,running shoe on ground,"[[2404676, u'ON', u'along.r.01', 2404677]]",0
19238,Stuffed bear hugging stuffed bird on a patterned bedspread,nose of a teddy bear,"[[897369, u'has', u'have.v.01', 897372]]",1
263036,Red train giving tour crosses a beautiful bridge ,these cows are eating hay,"[[2291858, u'eating', u'eat.v.01', 3616304]]",0
369931,two girls one eating and one drinking both smiling,person wearing black jacket,"[[2276212, u'WEARING', u'wear.v.01', 2276213]]",0
447902,"Hot dog with relish, ketchup and mustard, on plate with waffle fries. ",bottom of parking meter covered with snow,"[[1104281, u'covered in', u'traverse.v.01', 1104280]]",0
260241,A red white and blue plane with a propeller flying through the sky.,the plane has a round design on the side,"[[3705049, u'ON', u'along.r.01', 2500182]]",1
553278,Home baked pizza layered with leaves and cheese.,Pizza on white platter ,"[[3210906, u'ON', u'along.r.01', 3664462]]",1
350837,A person on a court with a tennis racket.,women is wearing white shoes ,"[[557710, u'WEARING', u'wear.v.01', 557712]]",1
135576,Someone at a table in front of plate with biscuit and egg sandwich and home fries,cheese in the muffin,"[[2310297, u'IN', u'in.r.01', 3639045]]",1
270035,A black and white photograph on sidewalk next to wall.,black flip flops on man's feet,"[[1086634, u'ON', u'along.r.01', 1086635]]",0
121879,A  small town with a heavy amount of traffic.,black horse running down hill ,"[[527748, u'ON', u'along.r.01', 527756]]",0
532644,Wet elephants shake water onto people bathing them.,the watch on the man's wrist,"[[850829, u'WEARING', u'wear.v.01', 850840]]",0
248052,An older woman standing in the middle of a crowd holding a microphone.,Glass of red wine,"[[1217655, u'OF', None, 1217657]]",1
354075,a lone horse walks through a plain past a lake,BROWN ELEPHANT IN FIELD,"[[995734, u'IN', u'in.r.01', 995733]]",0
69968,A airplane that is sitting on a runway.,a cupcake with icing,"[[3473250, u'ON', u'along.r.01', 3473249]]",0
240802,The road in tow is very quiet with no traffic.,Reflection of signs on the street,"[[3579497, u'ON', u'along.r.01', 3579498]]",1
79768,A sheep laying down next to the water,Ripples in the water.,"[[1009763, u'floating in', u'float.v.01', 1009753]]",1
161782,A yellow parking meter is shown on a street.,whiskers of a cat,"[[241479, u'OF', None, 241477]]",0
48892,A charming bathroom in an old fashioned house.,three wet spots on the floor,"[[3855542, u'ON', u'along.r.01', 3855543], [3855541, u'ON', u'along.r.01', 3855543], [3855540, u'ON', u'along.r.01', 3855543]]",1
155951,there are many sheep eating from this grass next to water,Back legs of sheep,"[[202389, u'OF', None, 202350], [202388, u'OF', None, 202350]]",1
449158,A man and woman sit on a tree branch as a man looks on. ,Man is wearing sunglasses.,"[[543013, u'WEARING', u'wear.v.01', 543017]]",1
286499,A young boy sitting in front of a stack of toy cars.,the boy wearing a yellow shirt,"[[2828295, u'WEARING', u'wear.v.01', 3715586]]",1
134837,A white airplane is shown on the tarmac.,white rectangle on sand,"[[1924476, u'ON', u'along.r.01', 1878207]]",0
236316,A fresh salad in a bowl with an apple,The apple's core,"[[149800, u'OF', None, 149795]]",1
96368,A man riding a wave on top of a surfboard.,a white tiled wall in the bathroom,"[[298542, u'has', u'have.v.01', 298534]]",0
410739,A man riding a skateboard towards a cement planter.,The man has a frisbee ,"[[763097, u'has', u'have.v.01', 763102]]",0
427895,A man with a racket on top of a airplane.,the number on the plane,"[[338903, u'ON', u'along.r.01', 338892]]",1
23648,An old house with a signage at the window,Electrical wiring on the wall.,"[[825029, u'ON', u'be.v.01', 825036]]",1
178695,A train with snow covered mountains in the background.,an orange design on the bag,"[[3645672, u'ON', u'along.r.01', 3003295]]",0
479387,A young girl picking a kite up off the ground.,Tables and chairs with socializing and eating patrons. ,"[[2526313, u'with eating', u'eat.v.01', 3852994]]",0
291973,A pair of tropical birds perched atop a bunch of bananas.,A pair of sneakers on the bike's tire.,"[[1135541, u'are on', u'be.v.01', 1135529]]",0
76246,A small clean airplane bathroom with sink and toilet. ,A mirror on a wall.,"[[757835, u'ON', u'along.r.01', 757848]]",1
164957,Strange bed with separate comforters and pillows folded in middle.,Traffic light suspended from a pole,"[[1064191, u'suspended by', u'by.r.01', 1064192]]",0
399282,A MAN IN A STRAW HAT RIDING ON THE TOP OF AN ELEPHANT ,someone holding a pan with pizza,"[[864188, u'ON', u'along.r.01', 864192], [864191, u'holding', u'have.v.01', 864192]]",0
476499,T train rounds the corner near a train stop.,yellow lettering on the side of the train car,"[[2831504, u'on side of', u'along.r.01', 2831505], [2831504, u'on side of', u'along.r.01', 2831506]]",1
277125,THERE IS A SHEEP IN THE BARN ,The left front leg of the sheep.,"[[399356, u'has', u'have.v.01', 399363]]",1
112720,A group of three girls that are standing in the grass.,part of a skirt,"[[712495, u'has', u'have.v.01', 712503]]",1
250268,Street parking meter with a series of numbers written on it. ,circle in a square,"[[725910, u'ON', u'along.r.01', 725904], [725910, u'IN', u'be.v.01', 725911], [725911, u'ON', u'along.r.01', 725904]]",1
101084,A dated living room is kept neat and tidy.,motorcycle on the ground,"[[2974154, u'ON', u'along.r.01', 2938588]]",0
559591,"The green, glass vase is near window curtains.",reflection from window,"[[1006495, u'from', None, 1006493]]",1
279947,A curved bathroom counter with rolled towels and a sink.,A white mouse on a keyboard,"[[325361, u'ON', u'along.r.01', 325363]]",0
375248,A red and green train traveling down tracks.,the man has short hair,"[[188859, u'has', u'have.v.01', 188867]]",0
403935,a woman is sitting at a table looking at her cell phone,Arm of a person wearing a brown sweater,"[[2085332, u'WEARING', u'wear.v.01', 3535684]]",1
188329,A bunch of surfboards that are in a building.,the catcher is squating behind the batter,"[[805269, u'behind', u'be.v.01', 805268]]",0
523010,Sports car convertible in traffic next to other cars. ,Cake sits on bowl,"[[2462720, u'ON', u'along.r.01', 3750579]]",0
451160,wax figures of persons that fought in the war,clock sitting on chair,"[[964695, u'sitting on', u'sit.v.01', 964685]]",0
17967,A group of people sitting around a living room together.,Pants on a woman,"[[3515900, u'ON', u'along.r.01', 3515901]]",1
173365,The cat is sitting on the piano with the papers. ,wheel on back of skateboard,"[[1092068, u'ON', u'be.v.01', 364262]]",0
171453,A room with a blanket and and popeye toy on it.,dugout with players in it,"[[615427, u'waiting in', u'wait.v.01', 615428]]",0
5906,A television set that is on is in front of a coffee table in a living room.,rivets on the boat,"[[3083860, u'ON', u'along.r.01', 3083859], [3083861, u'ON', u'along.r.01', 3083859], [3083862, u'ON', u'along.r.01', 3083859]]",0
327843,Happy Japanese officials prepared to sign official documents.,two men in dark suits,"[[800200, u'IN', u'in.r.01', 800201]]",1
359156,A building that has a large tower that is lit up.,A bird on the top of a building,"[[1976415, u'on top of', u'along.r.01', 2417233]]",0
430684,A church tower with a clock has birds flying nearby.,bed with white comforter,"[[860524, u'with', None, 860531]]",0
216314,A person walking in the sand while flying a kite. ,A raise in on the plate next to the cake,"[[3412116, u'next to', u'next.r.01', 3412117]]",0
480452,A bus stopped on the side of a road next to a building.,the front tire on the bus. ,"[[3241165, u'ON', u'along.r.01', 3174154]]",1
441241,A bunch of flowers sticking out of a vase on a table.,Four candles on the table.,"[[3277932, u'ON', u'along.r.01', 3277933], [3277934, u'ON', u'along.r.01', 3277933], [3277935, u'ON', u'along.r.01', 3277933], [3277936, u'ON', u'along.r.01', 3277933]]",1
18309,A yellow four door pick up truck parked on the side of the street.,giraffe's front legs are longer than its back legs,"[[2827490, u'ON', None, 2813989], [2827491, u'ON', None, 2813989], [2827492, u'ON', None, 2813989], [2827493, u'ON', None, 2813989]]",0
413560,The giraffe stretched its neck to get the offered snack.,The man is wearing a backpack.,"[[3488094, u'wears', None, 3488095]]",1
50013,A group of people in a park are playing Frisbee.,fresh onions sitting on table,"[[467695, u'on top of', u'along.r.01', 467685]]",0
275832,Man with a dog and a couple walk along the beach.,magazines in the table,"[[453728, u'IN', u'in.r.01', 453718]]",0
250124,A bedroom with a computer system set up.,black poster on wall next to the window,"[[2614663, u'ON', u'along.r.01', 3728197]]",1
