,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premise,Input.hypothesis,Input.label,Input.prompt,Answer.semantic-similarity.label,Approve,Reject
10,32K26U12DOTD5K82N0FK749QH2XVDF,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3TVSS0C0E350OI2YP2PXNU6B51FTWZ,7,Submitted,Wed Jan 16 14:40:12 PST 2019,Wed Jan 16 14:40:26 PST 2019,Sat Jan 19 14:40:26 PST 2019,,,,14,0% (0/0),0% (0/0),0% (0/0),A bathroom with two toilets and a toilet paper dispenser.,The bathroom is clean and organized. The walls and the floor are made of small tiles. The sink is shiny and black. The toilet seats are black. The toilet paper holder is on the left wall above the toilet seat. The light is on in the bathroom. There is a metal bar in the doorway of the bathroom. The light is reflecting on the sink.,1,Is Text 2 likely to be a longer description of the situation described by Text 1?,"4 - Yes, absolutely",,
11,32K26U12DOTD5K82N0FK749QH2XVDF,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3X3OR7WPZ151F4YBIQ70NNT8THR8LX,10,Submitted,Wed Jan 16 14:39:48 PST 2019,Wed Jan 16 14:43:41 PST 2019,Sat Jan 19 14:43:41 PST 2019,,,,233,0% (0/0),0% (0/0),0% (0/0),A bathroom with two toilets and a toilet paper dispenser.,The bathroom is clean and organized. The walls and the floor are made of small tiles. The sink is shiny and black. The toilet seats are black. The toilet paper holder is on the left wall above the toilet seat. The light is on in the bathroom. There is a metal bar in the doorway of the bathroom. The light is reflecting on the sink.,1,Is Text 2 likely to be a longer description of the situation described by Text 1?,"4 - Yes, absolutely",,
12,33TGB4G0LQMCQY9U95GH0TOX0ZTXT3,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,36AHBNMV1THXWY11ID763N95DNSDY0,11,Submitted,Wed Jan 16 14:41:07 PST 2019,Wed Jan 16 14:47:33 PST 2019,Sat Jan 19 14:47:33 PST 2019,,,,386,0% (0/0),0% (0/0),0% (0/0),A long table with people gathered around it eating a meal,"The man is sitting down at the table eating. He has glasses on his face. He is wearing a striped shirt. He is white. In front of him he has a coffee mug, a plate with a bagel on top of it, and a glass of orange juice. He appears to be smiling at the person that is taken his picture. The table he is sitting at is made of wood.",0,Is Text 2 likely to be a longer description of the situation described by Text 1?,3,,
13,33TGB4G0LQMCQY9U95GH0TOX0ZTXT3,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3HWRJOOET775SI3SF2Q1RJ3PWEWSET,12,Submitted,Wed Jan 16 14:39:00 PST 2019,Wed Jan 16 14:39:20 PST 2019,Sat Jan 19 14:39:20 PST 2019,,,,20,0% (0/0),0% (0/0),0% (0/0),A long table with people gathered around it eating a meal,"The man is sitting down at the table eating. He has glasses on his face. He is wearing a striped shirt. He is white. In front of him he has a coffee mug, a plate with a bagel on top of it, and a glass of orange juice. He appears to be smiling at the person that is taken his picture. The table he is sitting at is made of wood.",0,Is Text 2 likely to be a longer description of the situation described by Text 1?,"4 - Yes, absolutely",,
14,33TGB4G0LQMCQY9U95GH0TOX0ZTXT3,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3WYGZ5XF3YK8EIV2BO14PEGUGBSKS5,3,Submitted,Wed Jan 16 14:38:19 PST 2019,Wed Jan 16 14:38:47 PST 2019,Sat Jan 19 14:38:47 PST 2019,,,,28,0% (0/0),0% (0/0),0% (0/0),A long table with people gathered around it eating a meal,"The man is sitting down at the table eating. He has glasses on his face. He is wearing a striped shirt. He is white. In front of him he has a coffee mug, a plate with a bagel on top of it, and a glass of orange juice. He appears to be smiling at the person that is taken his picture. The table he is sitting at is made of wood.",0,Is Text 2 likely to be a longer description of the situation described by Text 1?,3,,
15,3511RHPADWJ4APFDRX8YPKSS55MLRS,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:15 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:15 PST 2019,,,3A1PQ49WVJMHI8V0SKJNGLDTYUC1HZ,2,Submitted,Wed Jan 16 14:40:16 PST 2019,Wed Jan 16 14:46:24 PST 2019,Sat Jan 19 14:46:24 PST 2019,,,,368,0% (0/0),0% (0/0),0% (0/0),There is four small vases on display on the wall.,Three people are in a room.  A woman wearing a scarf around her neck has blonde hair and black glasses.  Her skirt is dark and her boots are knee length.  A toddler is being held by a man with a black jacket on and wearing black glasses.  A green object is in the mouth of the toddler who is wearing a white top.  Several framed windows line the walls in the room. A print sofa has a white cover.,0,Is Text 2 likely to be a longer description of the situation described by Text 1?,2,,
16,3511RHPADWJ4APFDRX8YPKSS55MLRS,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:15 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:15 PST 2019,,,3RRCEFRB7OHOJUPXFASTS8HYF1HB46,7,Submitted,Wed Jan 16 14:40:26 PST 2019,Wed Jan 16 14:40:38 PST 2019,Sat Jan 19 14:40:38 PST 2019,,,,12,0% (0/0),0% (0/0),0% (0/0),There is four small vases on display on the wall.,Three people are in a room.  A woman wearing a scarf around her neck has blonde hair and black glasses.  Her skirt is dark and her boots are knee length.  A toddler is being held by a man with a black jacket on and wearing black glasses.  A green object is in the mouth of the toddler who is wearing a white top.  Several framed windows line the walls in the room. A print sofa has a white cover.,0,Is Text 2 likely to be a longer description of the situation described by Text 1?,1 - Not At All,,
17,3511RHPADWJ4APFDRX8YPKSS55MLRS,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:15 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:15 PST 2019,,,3TS1AR6UQSJBFYJWMACWEASTL1Z7F4,1,Submitted,Wed Jan 16 14:41:32 PST 2019,Wed Jan 16 14:43:50 PST 2019,Sat Jan 19 14:43:50 PST 2019,,,,138,0% (0/0),0% (0/0),0% (0/0),There is four small vases on display on the wall.,Three people are in a room.  A woman wearing a scarf around her neck has blonde hair and black glasses.  Her skirt is dark and her boots are knee length.  A toddler is being held by a man with a black jacket on and wearing black glasses.  A green object is in the mouth of the toddler who is wearing a white top.  Several framed windows line the walls in the room. A print sofa has a white cover.,0,Is Text 2 likely to be a longer description of the situation described by Text 1?,2,,
18,35XW21VSVHJGB4FQ6M83FUXOR75LSG,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,32ZKVD547HS31Y6TFWNAI3PS11LB3L,13,Submitted,Wed Jan 16 14:40:24 PST 2019,Wed Jan 16 14:41:34 PST 2019,Sat Jan 19 14:41:34 PST 2019,,,,70,0% (0/0),0% (0/0),0% (0/0),A boy in a green uniform hits a a ball.,A man is jumping in the air to catch a soccer ball. There is another man standing in front of him. There is a silver fence behind them.,0,Is Text 2 likely to be a longer description of the situation described by Text 1?,3,,
19,35XW21VSVHJGB4FQ6M83FUXOR75LSG,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3OLQQLKKNUUCTFK2S8HNZIC20VKJE5,14,Submitted,Wed Jan 16 14:41:29 PST 2019,Wed Jan 16 14:46:04 PST 2019,Sat Jan 19 14:46:04 PST 2019,,,,275,0% (0/0),0% (0/0),0% (0/0),A boy in a green uniform hits a a ball.,A man is jumping in the air to catch a soccer ball. There is another man standing in front of him. There is a silver fence behind them.,0,Is Text 2 likely to be a longer description of the situation described by Text 1?,2,,
20,35XW21VSVHJGB4FQ6M83FUXOR75LSG,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,3YGXWBAF72M7TZH3TAOO3SNGXMHC4E,1,Submitted,Wed Jan 16 14:41:21 PST 2019,Wed Jan 16 14:42:08 PST 2019,Sat Jan 19 14:42:08 PST 2019,,,,47,0% (0/0),0% (0/0),0% (0/0),A boy in a green uniform hits a a ball.,A man is jumping in the air to catch a soccer ball. There is another man standing in front of him. There is a silver fence behind them.,0,Is Text 2 likely to be a longer description of the situation described by Text 1?,3,,
21,35YHTYFL1H8A34MYE6AAV4CBTFDVFQ,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:17 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:17 PST 2019,,,34MAJL3QP6SJGZLK0HDNAPJMR94438,8,Submitted,Wed Jan 16 14:40:33 PST 2019,Wed Jan 16 14:40:38 PST 2019,Sat Jan 19 14:40:38 PST 2019,,,,5,0% (0/0),0% (0/0),0% (0/0),"Three women prepare large, rectangular pizzas with various ingredients.","A clerk is slicing pizza behind the counter of a shop.  Customers are on the other side of the counter.  The clerk is wearing gloves.  Various food items are off to the side.
Two other workers are behind the counter.",0,Is Text 2 likely to be a longer description of the situation described by Text 1?,3,,
22,35YHTYFL1H8A34MYE6AAV4CBTFDVFQ,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:17 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:17 PST 2019,,,3PM8NZGV80L2L2FWI3ROK89VUWMXQI,15,Submitted,Wed Jan 16 14:39:51 PST 2019,Wed Jan 16 14:46:44 PST 2019,Sat Jan 19 14:46:44 PST 2019,,,,413,0% (0/0),0% (0/0),0% (0/0),"Three women prepare large, rectangular pizzas with various ingredients.","A clerk is slicing pizza behind the counter of a shop.  Customers are on the other side of the counter.  The clerk is wearing gloves.  Various food items are off to the side.
Two other workers are behind the counter.",0,Is Text 2 likely to be a longer description of the situation described by Text 1?,2,,
23,35YHTYFL1H8A34MYE6AAV4CBTFDVFQ,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:17 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:17 PST 2019,,,3TMFV4NEPAJHQYAAM4E2WYAOROV8WQ,0,Submitted,Wed Jan 16 14:40:00 PST 2019,Wed Jan 16 14:48:32 PST 2019,Sat Jan 19 14:48:32 PST 2019,,,,512,0% (0/0),0% (0/0),0% (0/0),"Three women prepare large, rectangular pizzas with various ingredients.","A clerk is slicing pizza behind the counter of a shop.  Customers are on the other side of the counter.  The clerk is wearing gloves.  Various food items are off to the side.
Two other workers are behind the counter.",0,Is Text 2 likely to be a longer description of the situation described by Text 1?,3,,
24,362E9TQF2IVBVYYTQJH9Y0MTMSHGID,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:15 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:15 PST 2019,,,369J354OFFFYPY1MEKDMQHS9R5F6G3,5,Submitted,Wed Jan 16 14:40:10 PST 2019,Wed Jan 16 14:46:55 PST 2019,Sat Jan 19 14:46:55 PST 2019,,,,405,0% (0/0),0% (0/0),0% (0/0),Three hotdogs on buns with whole slices of relish sit on a white plate.,"On a brown wood table is a white round plate containing three hot dog buns. The buns each have a cooked hot dog in them and each hot dog has three or four sliced peppers on it. The peppers are either red or green, and they appear to be roasted, small, round peppers. The hot dog roll appears very fresh.",0,Is Text 2 likely to be a longer description of the situation described by Text 1?,2,,
25,362E9TQF2IVBVYYTQJH9Y0MTMSHGID,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:15 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:15 PST 2019,,,3NS0A6KXC6D0D8LXGPAXNFL4W9BGZ3,16,Submitted,Wed Jan 16 14:37:16 PST 2019,Wed Jan 16 14:37:30 PST 2019,Sat Jan 19 14:37:30 PST 2019,,,,14,0% (0/0),0% (0/0),0% (0/0),Three hotdogs on buns with whole slices of relish sit on a white plate.,"On a brown wood table is a white round plate containing three hot dog buns. The buns each have a cooked hot dog in them and each hot dog has three or four sliced peppers on it. The peppers are either red or green, and they appear to be roasted, small, round peppers. The hot dog roll appears very fresh.",0,Is Text 2 likely to be a longer description of the situation described by Text 1?,"4 - Yes, absolutely",,
26,362E9TQF2IVBVYYTQJH9Y0MTMSHGID,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:15 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:15 PST 2019,,,3TS1AR6UQSJBFYJWMACWEASTL1Y7F3,11,Submitted,Wed Jan 16 14:37:32 PST 2019,Wed Jan 16 14:42:32 PST 2019,Sat Jan 19 14:42:32 PST 2019,,,,300,0% (0/0),0% (0/0),0% (0/0),Three hotdogs on buns with whole slices of relish sit on a white plate.,"On a brown wood table is a white round plate containing three hot dog buns. The buns each have a cooked hot dog in them and each hot dog has three or four sliced peppers on it. The peppers are either red or green, and they appear to be roasted, small, round peppers. The hot dog roll appears very fresh.",0,Is Text 2 likely to be a longer description of the situation described by Text 1?,2,,
27,363A7XIFV5RF7D5Q3QOIH31KWZ0VAD,3EH3OJYIR02G1Y8E2TGJ9IY64V6AYW,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",$0.05,Wed Jan 16 14:37:16 PST 2019,3,BatchId:3501826;OriginalHitTemplateId:928390905;,600,259200,Fri Jan 18 14:37:16 PST 2019,,,33F859I568IIV6DSUHCCMXQ2K63BHS,17,Submitted,Wed Jan 16 14:40:42 PST 2019,Wed Jan 16 14:40:53 PST 2019,Sat Jan 19 14:40:53 PST 2019,,,,11,0% (0/0),0% (0/0),0% (0/0),"A red, white and blue boat anchored with others in shallow water.","A boat is parked near a pier or dock. The boat is white, has blue and red stripes going the long way around it and has some wooden areas on it. The boat is parked right next to a small white boat that has orange and red stripes on it. There is another boat next to the main boat that pretty much looks exactly the same.",1,Is Text 2 likely to be a longer description of the situation described by Text 1?,"4 - Yes, absolutely",,
